Country,Category,Location,Region,FY18 Q2,FY18 Q3,FY18 Q4,FY19 Q1,FY19 Q2,FY19 Q3,FY19 Q4,FY20 Q1,FY20 Q2,FY20 Q3,FY20 Q4,FY21 Q1,
Andorra,Licensed,International,Europe,1,1,1,1,1,1,1,2,2,2,2,2,
Argentina,Licensed,Americas,South American,129,135,143,143,144,146,146,147,144,136,135,134,
Aruba,Licensed,Americas,Other,4,4,4,4,4,4,4,4,4,4,4,5,
Australia,Licensed,International,Other,36,38,42,42,45,46,49,51,51,51,54,54,
Austria,Licensed,International,Europe,2,2,2,2,2,2,2,2,2,2,2,2,
Austria,Corporate,International,Europe,17,17,17,17,17,17,17,18,18,18,18,18,
Azerbaijan,Licensed,International,Europe,4,4,4,4,4,4,4,4,4,4,4,4,
Bahamas,Licensed,Americas,Other,12,12,12,12,13,13,13,14,14,14,14,14,
Bahrain,Licensed,International,Middle East,26,28,29,31,31,33,33,33,33,33,33,34,
Belgium,Licensed,International,Europe,21,25,25,26,26,28,28,28,30,31,31,31,
Bolivia,Licensed,Americas,South American,4,4,4,4,4,4,5,5,6,6,6,6,
Brazil,Licensed,Americas,South American,114,116,118,119,118,121,121,126,130,121,120,124,
Brunei,Licensed,International,Asia,4,4,4,4,4,4,4,4,4,4,4,4,
Bulgaria,Licensed,International,Europe,7,9,12,13,13,14,14,14,14,14,14,14,
Cambodia,Licensed,International,Asia,10,12,14,15,15,16,18,20,21,21,22,23,
Canada,Corporate,Americas,North America,1095,1100,1109,1128,1140,1162,1175,1153,1148,1141,1159,1100,
Canada,Licensed,Americas,North America,399,403,409,414,418,423,432,434,431,432,444,450,
Cayman Islands,Licensed,Americas,Other,0,0,0,0,0,0,1,1,1,1,1,1,
Chile,Licensed,Americas,South American,110,113,119,120,123,126,130,133,133,133,134,135,
China,Corporate,International,Asia,3237,3383,3522,3685,3791,3924,4125,4292,4351,4447,4706,4863,
Colombia,Licensed,Americas,South American,24,26,31,32,33,34,34,32,32,31,31,31,
Costa Rica,Licensed,Americas,Other,13,13,14,14,14,14,14,14,14,14,14,14,
Curacao,Licensed,Americas,Other,3,3,3,3,3,3,3,2,2,2,2,2,
Cyprus,Licensed,International,Europe,11,11,11,13,13,14,15,15,15,15,15,15,
Czech Republic,Licensed,International,Europe,34,35,37,41,41,44,45,49,49,49,51,51,
Denmark,Licensed,International,Europe,21,20,20,19,19,19,19,19,18,17,17,17,
Dominican Republic,Licensed,Americas,Other,0,0,0,0,0,0,0,0,0,1,2,3,
Egypt,Licensed,International,Middle East,37,37,36,38,39,39,38,39,42,42,44,47,
El Salvador,Licensed,Americas,Other,11,11,12,12,12,12,12,14,15,15,15,15,
Finland,Licensed,International,Europe,8,8,8,8,7,7,7,7,7,6,5,5,
France,Licensed,International,Europe,84,89,100,108,180,182,182,183,183,183,187,187,
France,Corporate,International,Europe,73,71,70,69,0,0,0,0,0,0,0,0,
Germany,Licensed,International,Europe,154,151,152,157,158,161,161,165,167,167,160,161,
Greece,Licensed,International,Europe,29,30,31,31,29,31,32,32,32,32,33,34,
Guatemala,Licensed,Americas,Other,7,8,9,9,9,9,9,9,9,9,9,9,
Hong Kong/Macau,Licensed,International,Asia,186,188,193,195,200,201,204,204,205,198,197,196,
